Date,Category,Product,Sales Quantity,Stock Level,Weather,Local Event
2024-01-04,Vegetables,Onion,49,147,Rainy,Holiday
2024-01-04,Vegetables,Carrot,66,134,Cloudy,None
2024-01-04,Vegetables,Spinach,27,70,Sunny,None
2024-01-04,Dairy,Milk,25,98,Cloudy,None
2024-01-04,Dairy,Cheese,49,141,Sunny,Sports Event
2024-01-04,Dairy,Butter,34,113,Rainy,None
2024-01-04,Dairy,Yogurt,71,118,Cloudy,Festival
2024-01-04,Dairy,Paneer,27,121,Rainy,None
2024-01-04,Beverages,Tea,37,80,Cloudy,None
2024-01-04,Beverages,Coffee,32,88,Cloudy,None
2024-01-04,Beverages,Juice,60,144,Sunny,Holiday
2024-01-04,Beverages,Soda,23,71,Rainy,None
2024-01-04,Beverages,Energy Drink,96,150,Cloudy,None
2024-01-04,Bakery,Bread,95,125,Sunny,None
2024-01-04,Bakery,Croissant,68,156,Rainy,Sports Event
2024-01-04,Bakery,Cake,60,155,Rainy,None
2024-01-04,Bakery,Biscuits,8,77,Sunny,None
2024-01-04,Bakery,Muffin,92,170,Cloudy,Holiday
2024-01-04,Frozen Foods,Frozen Peas,8,53,Cloudy,None
2024-01-04,Frozen Foods,Ice Cream,68,138,Rainy,None
2024-01-04,Frozen Foods,Frozen Pizza,19,68,Rainy,Holiday
2024-01-04,Frozen Foods,French Fries,41,102,Sunny,None
2024-01-04,Frozen Foods,Chicken Nuggets,10,97,Rainy,Sports Event
2024-01-04,Snacks,Chips,33,129,Cloudy,Holiday
2024-01-04,Snacks,Popcorn,21,62,Sunny,None
2024-01-04,Snacks,Cookies,53,85,Rainy,None
2024-01-04,Snacks,Chocolates,57,127,Cloudy,None
2024-01-04,Snacks,Dry Fruits,36,106,Rainy,None
2024-01-05,Fruits,Mango,50,90,Cloudy,None
2024-01-05,Fruits,Banana,5,87,Sunny,None
2024-01-05,Fruits,Apple,15,85,Sunny,Holiday
2024-01-05,Fruits,Orange,86,129,Rainy,None
2024-01-05,Fruits,Grapes,89,116,Sunny,None
2024-01-05,Vegetables,Tomato,40,78,Cloudy,Holiday
2024-01-05,Vegetables,Potato,15,88,Sunny,None
2024-01-05,Vegetables,Onion,25,55,Cloudy,None
2024-01-05,Vegetables,Carrot,85,160,Sunny,Sports Event
2024-01-05,Vegetables,Spinach,16,105,Sunny,Holiday
2024-01-05,Dairy,Milk,30,97,Rainy,None
2024-01-05,Dairy,Cheese,79,131,Rainy,Festival
2024-01-05,Dairy,Butter,19,65,Cloudy,Holiday
2024-01-05,Dairy,Yogurt,85,155,Sunny,Holiday
2024-01-05,Dairy,Paneer,86,156,Cloudy,Festival
2024-01-05,Beverages,Tea,8,34,Sunny,None
2024-01-05,Beverages,Coffee,77,168,Sunny,None
2024-01-05,Beverages,Juice,76,114,Cloudy,Sports Event
2024-01-05,Beverages,Soda,63,151,Sunny,Holiday
2024-01-05,Beverages,Energy Drink,65,115,Cloudy,None
2024-01-05,Bakery,Bread,26,88,Cloudy,None
2024-01-05,Bakery,Croissant,46,129,Rainy,None
2024-01-05,Bakery,Cake,80,165,Sunny,None
2024-01-05,Bakery,Biscuits,60,109,Sunny,Festival
2024-01-05,Bakery,Muffin,39,77,Rainy,None
2024-01-05,Frozen Foods,Frozen Peas,75,124,Cloudy,None
2024-01-05,Frozen Foods,Ice Cream,40,84,Sunny,Festival
2024-01-05,Frozen Foods,Frozen Pizza,41,73,Sunny,Sports Event
2024-01-05,Frozen Foods,French Fries,77,97,Cloudy,None
2024-01-05,Frozen Foods,Chicken Nuggets,27,55,Rainy,None
2024-01-05,Snacks,Chips,8,57,Cloudy,None
2024-01-05,Snacks,Popcorn,76,98,Rainy,Sports Event
2024-01-05,Snacks,Cookies,49,102,Sunny,Holiday
2024-01-05,Snacks,Chocolates,20,105,Sunny,None
2024-01-05,Snacks,Dry Fruits,20,99,Rainy,None
2024-01-06,Fruits,Mango,17,92,Cloudy,None
2024-01-06,Fruits,Banana,38,96,Cloudy,Sports Event
2024-01-06,Fruits,Apple,82,156,Cloudy,None
2024-01-06,Fruits,Orange,57,115,Sunny,None
2024-01-06,Fruits,Grapes,34,106,Sunny,None
2024-01-06,Vegetables,Tomato,57,95,Sunny,Festival
2024-01-06,Vegetables,Potato,35,109,Cloudy,Sports Event
2024-01-06,Vegetables,Onion,78,107,Rainy,None
2024-01-06,Vegetables,Carrot,36,69,Rainy,Festival
2024-01-06,Vegetables,Spinach,57,100,Cloudy,None
2024-01-06,Dairy,Milk,67,90,Sunny,Holiday
2024-01-06,Dairy,Cheese,12,43,Cloudy,None
2024-01-06,Dairy,Butter,38,132,Sunny,Festival
2024-01-06,Dairy,Yogurt,83,159,Cloudy,None
2024-01-06,Dairy,Paneer,97,142,Rainy,None
2024-01-06,Beverages,Tea,42,111,Sunny,None
2024-01-06,Beverages,Coffee,48,131,Sunny,Holiday
2024-01-06,Beverages,Juice,69,107,Sunny,Sports Event
2024-01-06,Beverages,Soda,48,135,Rainy,Sports Event
2024-01-06,Beverages,Energy Drink,17,85,Rainy,None
2024-01-06,Bakery,Bread,80,150,Sunny,None
2024-01-06,Bakery,Croissant,91,139,Sunny,Holiday
2024-01-06,Bakery,Cake,93,167,Rainy,None
2024-01-06,Bakery,Biscuits,89,129,Cloudy,None
2024-01-06,Bakery,Muffin,37,80,Cloudy,Holiday
2024-01-06,Frozen Foods,Frozen Peas,51,95,Rainy,None
2024-01-06,Frozen Foods,Ice Cream,88,119,Sunny,None
2024-01-06,Frozen Foods,Frozen Pizza,52,99,Sunny,None
2024-01-06,Frozen Foods,French Fries,22,119,Cloudy,None
2024-01-06,Frozen Foods,Chicken Nuggets,75,107,Rainy,None
2024-01-06,Snacks,Chips,35,56,Sunny,None
2024-01-06,Snacks,Popcorn,79,152,Rainy,None
2024-01-06,Snacks,Cookies,91,155,Sunny,None
2024-01-06,Snacks,Chocolates,92,119,Cloudy,None
2024-01-06,Snacks,Dry Fruits,7,54,Rainy,None
2024-01-07,Fruits,Mango,25,72,Rainy,None
2024-01-07,Fruits,Banana,25,57,Sunny,Sports Event
2024-01-07,Fruits,Apple,58,87,Sunny,None
2024-01-07,Fruits,Orange,57,150,Rainy,None
2024-01-07,Fruits,Grapes,28,49,Rainy,Festival
2024-01-07,Vegetables,Tomato,18,47,Cloudy,None
2024-01-07,Vegetables,Potato,21,52,Rainy,None
2024-01-07,Vegetables,Onion,33,95,Sunny,Holiday
2024-01-07,Vegetables,Carrot,64,148,Cloudy,Festival
2024-01-07,Vegetables,Spinach,51,128,Cloudy,None
2024-01-07,Dairy,Milk,46,124,Cloudy,Sports Event
2024-01-07,Dairy,Cheese,38,94,Rainy,None
2024-01-07,Dairy,Butter,29,81,Cloudy,None
2024-01-07,Dairy,Yogurt,61,92,Cloudy,None
2024-01-07,Dairy,Paneer,81,107,Cloudy,None
2024-01-07,Beverages,Tea,36,130,Sunny,None
2024-01-07,Beverages,Coffee,76,140,Rainy,None
2024-01-07,Beverages,Juice,71,119,Sunny,Holiday
2024-01-07,Beverages,Soda,32,128,Cloudy,None
2024-01-07,Beverages,Energy Drink,48,71,Rainy,Holiday
2024-01-07,Bakery,Bread,9,84,Rainy,None
2024-01-07,Bakery,Croissant,36,83,Rainy,None
2024-01-07,Bakery,Cake,63,153,Rainy,Sports Event
2024-01-07,Bakery,Biscuits,29,58,Cloudy,None
2024-01-07,Bakery,Muffin,15,111,Sunny,None
2024-01-07,Frozen Foods,Frozen Peas,72,119,Cloudy,None
2024-01-07,Frozen Foods,Ice Cream,53,119,Rainy,None
2024-01-07,Frozen Foods,Frozen Pizza,64,140,Cloudy,None
2024-01-07,Frozen Foods,French Fries,50,95,Sunny,Holiday
2024-01-07,Frozen Foods,Chicken Nuggets,88,159,Sunny,None
2024-01-07,Snacks,Chips,58,110,Rainy,None
2024-01-07,Snacks,Popcorn,19,99,Rainy,None
2024-01-07,Snacks,Cookies,73,98,Rainy,Holiday
2024-01-07,Snacks,Chocolates,66,163,Rainy,None
2024-01-07,Snacks,Dry Fruits,99,121,Rainy,Sports Event
2024-01-08,Fruits,Mango,12,75,Sunny,None
2024-01-08,Fruits,Banana,37,131,Sunny,None
2024-01-08,Fruits,Apple,99,146,Rainy,None
2024-01-08,Fruits,Orange,72,139,Cloudy,Holiday
2024-01-08,Fruits,Grapes,80,110,Sunny,None
2024-01-08,Vegetables,Tomato,23,97,Rainy,None
2024-01-08,Vegetables,Potato,30,55,Cloudy,Festival
2024-01-08,Vegetables,Onion,21,83,Sunny,Holiday
2024-01-08,Vegetables,Carrot,38,65,Sunny,Sports Event
2024-01-08,Vegetables,Spinach,98,182,Cloudy,None
2024-01-08,Dairy,Milk,63,126,Sunny,Sports Event
2024-01-08,Dairy,Cheese,40,87,Rainy,Sports Event
2024-01-08,Dairy,Butter,89,150,Rainy,None
2024-01-08,Dairy,Yogurt,52,93,Sunny,None
2024-01-08,Dairy,Paneer,97,183,Sunny,None
2024-01-08,Beverages,Tea,13,86,Cloudy,Holiday
2024-01-08,Beverages,Coffee,5,56,Sunny,Festival
2024-01-08,Beverages,Juice,71,110,Sunny,None
2024-01-08,Beverages,Soda,95,192,Sunny,Festival
2024-01-08,Beverages,Energy Drink,97,169,Cloudy,None
2024-01-08,Bakery,Bread,69,89,Rainy,Sports Event
2024-01-08,Bakery,Croissant,24,53,Cloudy,None
2024-01-08,Bakery,Cake,9,93,Sunny,None
2024-01-08,Bakery,Biscuits,45,132,Sunny,Festival
2024-01-08,Bakery,Muffin,60,130,Sunny,None
2024-01-08,Frozen Foods,Frozen Peas,30,68,Sunny,None
2024-01-08,Frozen Foods,Ice Cream,51,141,Rainy,Sports Event
2024-01-08,Frozen Foods,Frozen Pizza,25,122,Cloudy,None
2024-01-08,Frozen Foods,French Fries,19,46,Sunny,None
2024-01-08,Frozen Foods,Chicken Nuggets,50,97,Rainy,None
2024-01-08,Snacks,Chips,72,106,Cloudy,None
2024-01-08,Snacks,Popcorn,71,114,Cloudy,Sports Event
2024-01-08,Snacks,Cookies,65,120,Rainy,Festival
2024-01-08,Snacks,Chocolates,28,51,Cloudy,None
2024-01-08,Snacks,Dry Fruits,53,125,Cloudy,Holiday
2024-01-09,Fruits,Mango,99,171,Rainy,None
2024-01-09,Fruits,Banana,64,137,Rainy,None
2024-01-09,Fruits,Apple,14,73,Cloudy,None
2024-01-09,Fruits,Orange,89,169,Cloudy,Sports Event
2024-01-09,Fruits,Grapes,90,156,Rainy,Festival
2024-01-09,Vegetables,Tomato,40,100,Sunny,Festival
2024-01-09,Vegetables,Potato,62,131,Rainy,None
2024-01-09,Vegetables,Onion,29,75,Cloudy,None
2024-01-09,Vegetables,Carrot,51,109,Rainy,None
2024-01-09,Vegetables,Spinach,25,116,Sunny,None
2024-01-09,Dairy,Milk,35,96,Rainy,None
2024-01-09,Dairy,Cheese,38,66,Sunny,Holiday
2024-01-09,Dairy,Butter,14,50,Cloudy,Festival
2024-01-09,Dairy,Yogurt,25,109,Cloudy,None
2024-01-09,Dairy,Paneer,40,125,Cloudy,Festival
2024-01-09,Beverages,Tea,74,94,Cloudy,None
2024-01-09,Beverages,Coffee,43,119,Sunny,None
2024-01-09,Beverages,Juice,45,137,Sunny,None
2024-01-09,Beverages,Soda,88,159,Sunny,Sports Event
2024-01-09,Beverages,Energy Drink,67,135,Cloudy,None
2024-01-09,Bakery,Bread,68,152,Sunny,None
2024-01-09,Bakery,Croissant,19,70,Rainy,None
2024-01-09,Bakery,Cake,47,101,Rainy,Festival
2024-01-09,Bakery,Biscuits,18,71,Sunny,None
2024-01-09,Bakery,Muffin,92,170,Sunny,Sports Event
2024-01-09,Frozen Foods,Frozen Peas,53,112,Cloudy,None
2024-01-09,Frozen Foods,Ice Cream,73,119,Rainy,None
2024-01-09,Frozen Foods,Frozen Pizza,68,149,Cloudy,Holiday
2024-01-09,Frozen Foods,French Fries,84,146,Rainy,Sports Event
2024-01-09,Frozen Foods,Chicken Nuggets,99,186,Cloudy,None
2024-01-09,Snacks,Chips,26,102,Sunny,None
2024-01-09,Snacks,Popcorn,82,157,Cloudy,None
2024-01-09,Snacks,Cookies,20,90,Rainy,None
2024-01-09,Snacks,Chocolates,76,107,Rainy,None
2024-01-09,Snacks,Dry Fruits,9,55,Sunny,Holiday
2024-01-10,Fruits,Mango,9,85,Rainy,None
2024-01-10,Fruits,Banana,63,115,Rainy,None
2024-01-10,Fruits,Apple,23,111,Cloudy,None
2024-01-10,Fruits,Orange,51,109,Sunny,None
2024-01-10,Fruits,Grapes,58,84,Cloudy,None
2024-01-10,Vegetables,Tomato,91,129,Rainy,None
2024-01-10,Vegetables,Potato,24,72,Rainy,Holiday
2024-01-10,Vegetables,Onion,61,88,Rainy,None
2024-01-10,Vegetables,Carrot,78,114,Rainy,Holiday
2024-01-10,Vegetables,Spinach,73,120,Rainy,None
2024-01-10,Dairy,Milk,86,146,Sunny,None
2024-01-10,Dairy,Cheese,80,170,Cloudy,None
2024-01-10,Dairy,Butter,93,147,Rainy,None
2024-01-10,Dairy,Yogurt,78,135,Rainy,None
2024-01-10,Dairy,Paneer,59,117,Cloudy,None
2024-01-10,Beverages,Tea,24,84,Rainy,None
2024-01-10,Beverages,Coffee,23,108,Rainy,None
2024-01-10,Beverages,Juice,26,112,Rainy,None
2024-01-10,Beverages,Soda,14,106,Sunny,None
2024-01-10,Beverages,Energy Drink,74,152,Cloudy,None
2024-01-10,Bakery,Bread,33,120,Sunny,None
2024-01-10,Bakery,Croissant,93,122,Sunny,Holiday
2024-01-10,Bakery,Cake,26,96,Sunny,None
2024-01-10,Bakery,Biscuits,26,75,Sunny,None
2024-01-10,Bakery,Muffin,69,133,Cloudy,None
2024-01-10,Frozen Foods,Frozen Peas,40,60,Rainy,None
2024-01-10,Frozen Foods,Ice Cream,50,101,Rainy,Holiday
2024-01-10,Frozen Foods,Frozen Pizza,21,114,Rainy,Festival
2024-01-10,Frozen Foods,French Fries,54,108,Cloudy,None
2024-01-10,Frozen Foods,Chicken Nuggets,29,76,Cloudy,None
2024-01-10,Snacks,Chips,97,189,Cloudy,None
2024-01-10,Snacks,Popcorn,96,132,Cloudy,None
2024-01-10,Snacks,Cookies,46,115,Sunny,None
2024-01-10,Snacks,Chocolates,27,98,Cloudy,None
2024-01-10,Snacks,Dry Fruits,73,135,Rainy,None
2024-01-11,Fruits,Mango,65,134,Cloudy,None
2024-01-11,Fruits,Banana,37,131,Rainy,None
2024-01-11,Fruits,Apple,14,71,Cloudy,Sports Event
2024-01-11,Fruits,Orange,63,145,Sunny,Festival
2024-01-11,Fruits,Grapes,7,100,Rainy,Festival
2024-01-11,Vegetables,Tomato,95,122,Cloudy,Festival
2024-01-11,Vegetables,Potato,85,177,Sunny,None
2024-01-11,Vegetables,Onion,93,151,Sunny,Sports Event
2024-01-11,Vegetables,Carrot,58,114,Sunny,None
2024-01-11,Vegetables,Spinach,63,84,Sunny,Sports Event
2024-01-11,Dairy,Milk,64,123,Rainy,None
2024-01-11,Dairy,Cheese,41,139,Rainy,Sports Event
2024-01-11,Dairy,Butter,26,56,Rainy,None
2024-01-11,Dairy,Yogurt,8,34,Sunny,None
2024-01-11,Dairy,Paneer,92,179,Cloudy,None
2024-01-11,Beverages,Tea,7,104,Rainy,None
2024-01-11,Beverages,Coffee,5,62,Sunny,None
2024-01-11,Beverages,Juice,9,102,Sunny,Festival
2024-01-11,Beverages,Soda,71,137,Cloudy,None
2024-01-11,Beverages,Energy Drink,73,93,Cloudy,None
2024-01-11,Bakery,Bread,27,71,Sunny,Festival
2024-01-11,Bakery,Croissant,56,100,Sunny,None
2024-01-11,Bakery,Cake,36,110,Sunny,None
2024-01-11,Bakery,Biscuits,53,130,Cloudy,None
2024-01-11,Bakery,Muffin,89,169,Sunny,None
2024-01-11,Frozen Foods,Frozen Peas,39,97,Rainy,None
2024-01-11,Frozen Foods,Ice Cream,9,70,Cloudy,Sports Event
2024-01-11,Frozen Foods,Frozen Pizza,91,190,Cloudy,None
2024-01-11,Frozen Foods,French Fries,90,182,Sunny,None
2024-01-11,Frozen Foods,Chicken Nuggets,91,123,Rainy,None
2024-01-11,Snacks,Chips,27,91,Sunny,Festival
2024-01-11,Snacks,Popcorn,89,174,Sunny,Festival
2024-01-11,Snacks,Cookies,22,63,Rainy,None
2024-01-11,Snacks,Chocolates,85,136,Rainy,Sports Event
2024-01-11,Snacks,Dry Fruits,14,69,Rainy,None
2024-01-12,Fruits,Mango,32,62,Rainy,None
2024-01-12,Fruits,Banana,51,89,Rainy,None
2024-01-12,Fruits,Apple,32,75,Cloudy,None
2024-01-12,Fruits,Orange,51,103,Rainy,Sports Event
2024-01-12,Fruits,Grapes,71,164,Cloudy,Festival
2024-01-12,Vegetables,Tomato,33,102,Rainy,None
2024-01-12,Vegetables,Potato,5,58,Sunny,None
2024-01-12,Vegetables,Onion,81,148,Sunny,None
2024-01-12,Vegetables,Carrot,65,113,Cloudy,None
2024-01-12,Vegetables,Spinach,30,66,Cloudy,None
2024-01-12,Dairy,Milk,30,98,Cloudy,None
2024-01-12,Dairy,Cheese,53,125,Sunny,None
2024-01-12,Dairy,Butter,21,83,Sunny,None
2024-01-12,Dairy,Yogurt,7,105,Sunny,None
2024-01-12,Dairy,Paneer,36,81,Sunny,Festival
2024-01-12,Beverages,Tea,77,152,Sunny,None
2024-01-12,Beverages,Coffee,90,189,Sunny,None
2024-01-12,Beverages,Juice,55,145,Rainy,None
2024-01-12,Beverages,Soda,23,108,Sunny,Sports Event
2024-01-12,Beverages,Energy Drink,7,37,Sunny,None
2024-01-12,Bakery,Bread,61,98,Cloudy,None
2024-01-12,Bakery,Croissant,70,97,Rainy,None
2024-01-12,Bakery,Cake,61,116,Cloudy,None
2024-01-12,Bakery,Biscuits,61,129,Sunny,None
2024-01-12,Bakery,Muffin,81,145,Rainy,None
2024-01-12,Frozen Foods,Frozen Peas,68,154,Cloudy,None
2024-01-12,Frozen Foods,Ice Cream,82,165,Cloudy,Festival
2024-01-12,Frozen Foods,Frozen Pizza,8,87,Cloudy,None
2024-01-12,Frozen Foods,French Fries,95,144,Cloudy,Sports Event
2024-01-12,Frozen Foods,Chicken Nuggets,53,81,Cloudy,Sports Event
2024-01-12,Snacks,Chips,65,163,Sunny,None
2024-01-12,Snacks,Popcorn,77,154,Sunny,None
2024-01-12,Snacks,Cookies,66,124,Rainy,Festival
2024-01-12,Snacks,Chocolates,87,170,Sunny,None
2024-01-12,Snacks,Dry Fruits,96,124,Cloudy,Sports Event
2024-01-13,Fruits,Mango,33,110,Sunny,None
2024-01-13,Fruits,Banana,99,121,Sunny,None
2024-01-13,Fruits,Apple,40,121,Rainy,None
2024-01-13,Fruits,Orange,65,97,Cloudy,None
2024-01-13,Fruits,Grapes,12,90,Sunny,None
2024-01-13,Vegetables,Tomato,63,84,Rainy,Sports Event
2024-01-13,Vegetables,Potato,14,77,Cloudy,None
2024-01-13,Vegetables,Onion,85,106,Rainy,None
2024-01-13,Vegetables,Carrot,94,136,Rainy,Holiday
2024-01-13,Vegetables,Spinach,66,123,Sunny,None
2024-01-13,Dairy,Milk,42,128,Rainy,None
2024-01-13,Dairy,Cheese,98,162,Sunny,None
2024-01-13,Dairy,Butter,17,63,Cloudy,None
2024-01-13,Dairy,Yogurt,57,155,Cloudy,Festival
2024-01-13,Dairy,Paneer,27,116,Rainy,None
2024-01-13,Beverages,Tea,80,132,Sunny,None
2024-01-13,Beverages,Coffee,26,115,Sunny,Sports Event
2024-01-13,Beverages,Juice,39,137,Sunny,None
2024-01-13,Beverages,Soda,50,119,Rainy,None
2024-01-13,Beverages,Energy Drink,63,111,Cloudy,Holiday
2024-01-13,Bakery,Bread,22,43,Cloudy,Sports Event
2024-01-13,Bakery,Croissant,42,109,Cloudy,Holiday
2024-01-13,Bakery,Cake,47,127,Cloudy,Sports Event
2024-01-13,Bakery,Biscuits,65,158,Cloudy,Holiday
2024-01-13,Bakery,Muffin,39,73,Sunny,None
2024-01-13,Frozen Foods,Frozen Peas,39,133,Cloudy,Sports Event
2024-01-13,Frozen Foods,Ice Cream,58,152,Rainy,None
2024-01-13,Frozen Foods,Frozen Pizza,52,106,Rainy,None
2024-01-13,Frozen Foods,French Fries,82,125,Rainy,Festival
2024-01-13,Frozen Foods,Chicken Nuggets,36,110,Cloudy,None
2024-01-13,Snacks,Chips,62,84,Sunny,Sports Event
2024-01-13,Snacks,Popcorn,14,58,Sunny,None
2024-01-13,Snacks,Cookies,23,85,Rainy,Festival
2024-01-13,Snacks,Chocolates,47,91,Cloudy,Sports Event
2024-01-13,Snacks,Dry Fruits,15,89,Sunny,None
2024-01-14,Fruits,Mango,9,79,Sunny,Holiday
2024-01-14,Fruits,Banana,8,69,Rainy,None
2024-01-14,Fruits,Apple,79,130,Cloudy,Sports Event
2024-01-14,Fruits,Orange,31,105,Rainy,None
2024-01-14,Fruits,Grapes,91,185,Sunny,None
2024-01-14,Vegetables,Tomato,91,151,Cloudy,None
2024-01-14,Vegetables,Potato,58,151,Rainy,None
2024-01-14,Vegetables,Onion,68,158,Sunny,None
